省份, 城市, 商圈, 具体位置, 服务
湖北省,武汉市,武汉徐东,徐东大街18号销品茂一层,"点唱机,礼品卡"
湖北省,武汉市,汉西,硚口区解放大道201号（大武汉家装广场G座）,"Wi-Fi,店内参观,礼品卡"
湖北省,武汉市,武展,武汉国际会展中心西下层广场 电话15997423423,"点唱机,精选店,礼品卡"
湖北省,武汉市,T3到达,武汉天河机场T3航站楼二楼到达层（国内到达A区出口对面）TEL：15971434899,Wi-Fi
湖北省,武汉市,T3出发,武汉天河机场T3航站楼A区安检内下手扶梯处 TEL:18108626553,"Wi-Fi,点唱机"
湖北省,孝感市,百胜餐饮(武汉)有限公司孝感高速服务区外卖点,汉十高速孝感服务区南区,
河南省,洛阳市,中弘,涧西区武汉路以东、联盟路以北、康滇路以西、规划路以南中弘范特区一层,"Wi-Fi,店内参观"
湖北省,黄石市,黄石武汉路,武汉路193号黄石摩尔城中商百货,"Wi-Fi,点唱机"
湖北省,武汉市,武汉站三,洪山区武汉火车站候车大厅B区夹层B2-05号商铺,Wi-Fi
福建省,厦门市,武汉大厦5365177,嘉禾路265号1001铺,"Wi-Fi,店内参观"
湖北省,随州市,百胜餐饮(武汉)有限公司随州万达,市辖区随州万达广场1021号商铺,"Wi-Fi,点唱机,店内参观"
湖北省,武汉市,武汉K11独立甜品站,解放大道628号武汉汉口K11购物艺术中心-II馆S302-肯德基甜品站,
湖北省,武汉市,武汉火车站五,青山区武汉火车站核心区C4号商铺,Wi-Fi
湖北省,武汉市,武汉火车站五,青山区武汉火车站核心区C4号商铺,Wi-Fi
湖北省,武汉市,百胜餐饮(武汉)有限公司万科翡翠滨江外卖点,月湖大道以南、郭琴路以北、金龙路以西万科翡翠滨江生活广场一层,"点唱机,店内参观,精选店"
湖北省,武汉市,武汉K11独立甜品站,解放大道628号武汉汉口K11购物艺术中心-II馆S302-肯德基甜品站,
湖北省,武汉市,百胜餐饮(武汉)有限公司万科翡翠滨江外卖点,月湖大道以南、郭琴路以北、金龙路以西万科翡翠滨江生活广场一层,"点唱机,店内参观,精选店"
湖北省,武汉市,流动餐车1号,江岸区武汉天地企业中心5号楼,Wi-Fi
湖北省,武汉市,流动餐车1号,江岸区武汉天地企业中心5号楼,Wi-Fi
湖北省,武汉市,百胜餐饮(武汉)有限公司新王家湾地铁外卖口,轨道交通4号线一期王家湾站编号WJW4-06号物业,店内参观
湖北省,武汉市,百胜餐饮(武汉)有限公司新王家湾地铁外卖口,轨道交通4号线一期王家湾站编号WJW4-06号物业,店内参观
湖北省,武汉市,TY临时-武汉肯德基市场,东湖生态风景区磨山碧波凌轩驿站,
湖北省,武汉市,TY临时-武汉肯德基市场,东湖生态风景区磨山碧波凌轩驿站,
湖北省,武汉市,武汉K11,武汉K11购物艺术中心B1层B102号商铺,"Wi-Fi,点唱机,店内参观"
湖北省,武汉市,武汉K11,武汉K11购物艺术中心B1层B102号商铺,"Wi-Fi,点唱机,店内参观"
湖北省,武汉市,龙湖江宸天街,航侧村武汉龙湖江宸天街项目负二楼,"Wi-Fi,点唱机,店内参观"
湖北省,武汉市,龙湖江宸天街,航侧村武汉龙湖江宸天街项目负二楼,"Wi-Fi,点唱机,店内参观"
湖北省,武汉市,中石油武汉盘龙大道,盘龙大道45号,"24小时,手机点餐"
湖北省,武汉市,中石油武汉盘龙大道,盘龙大道45号,"24小时,手机点餐"
湖北省,武汉市,中石油武汉盘龙大道,中石油肯德基13296559268,
湖北省,武汉市,中石油武汉盘龙大道,中石油肯德基13296559268,
湖北省,武汉市,武汉客厅,武汉客厅:18572830693,
湖北省,武汉市,清和广场,珞喻路419号清和广场1F（武汉体育学院西大门旁边）,
湖北省,武汉市,汉阳摩尔城,龙阳大道特6号武汉摩尔城一期地下一层,点唱机
江西省,南昌市,TY临时-武汉肯德基市场,,手机点餐
江西省,南昌市,TY临时-武汉肯德基市场,,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司沙湖公园临时,公正路沙湖公园C区,手机点餐
湖北省,武汉市,武汉工程科技学院,熊廷弼路特8号武工院学生事务中心一楼,"点唱机,手机点餐"
湖北省,武汉市,光谷大悦城,市辖区东湖高新技术开发区武汉大悦城购物中心B1-13号店铺,"点唱机,手机点餐"
湖北省,武汉市,光谷大悦城,市辖区东湖高新技术开发区武汉大悦城购物中心B1-13号店铺,"点唱机,手机点餐"
湖北省,武汉市,大智荟,武汉轨道交通1号线大智门艺术中心物业DZM1-04号商铺物业,手机点餐
湖北省,武汉市,武汉万象城,"台北路华为旗舰店入口进去手扶梯直接负一楼,建设大道和台北路交汇处的武汉万象城FB112号商铺",手机点餐
湖北省,武汉市,湖北中医药大学,武汉轨道交通5号线中医药大学站01号商铺物业,手机点餐
湖北省,武汉市,武汉工程科技学院,熊廷弼路特8号武工院学生事务中心一楼,"点唱机,手机点餐"
湖北省,武汉市,大智荟,武汉轨道交通1号线大智门艺术中心物业DZM1-04号商铺物业,手机点餐
湖北省,武汉市,湖北中医药大学,武汉轨道交通5号线中医药大学站01号商铺物业,手机点餐
湖北省,武汉市,武汉万象城,"台北路华为旗舰店入口进去手扶梯直接负一楼,建设大道和台北路交汇处的武汉万象城FB112号商铺",手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司沙湖公园临时,公正路沙湖公园C区,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司沌口体育中心,车城北路58号,"火车站店,手机点餐"
湖北省,荆门市,百胜餐饮(武汉)有限公司京山联合广场临时,新市镇人民大道南侧联合广场一层,"汽车穿梭店,手机点餐"
湖北省,武汉市,武汉国博中心临时,鹦鹉大道619号武汉国际博览中心,"24小时,手机点餐"
湖北省,武汉市,武汉国博中心临时,鹦鹉大道619号武汉国际博览中心,"24小时,手机点餐"
湖北省,荆门市,百胜餐饮(武汉)有限公司京山联合广场临时,新市镇人民大道南侧联合广场一层,"汽车穿梭店,手机点餐"
湖北省,武汉市,百胜餐饮(武汉)有限公司沌口体育中心,车城北路58号,"火车站店,手机点餐"
湖北省,武汉市,百胜餐饮(武汉)有限公司竹叶山,黄孝河路49号圆梦圆国际广场(竹叶山中百仓储)18572833516,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司汉口江滩KCOFFEE,汉口江滩二期沿江步道34号,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司汉口江滩KCOFFEE,汉口江滩二期沿江步道34号,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司竹叶山,黄孝河路49号圆梦圆国际广场(竹叶山中百仓储)18572833516,手机点餐
湖北省,宜昌市,百胜餐饮(武汉)有限公司雅斯,夷陵路51号宜昌雅斯广场一层,手机点餐
湖北省,宜昌市,百胜餐饮(武汉)有限公司雅斯,夷陵路51号宜昌雅斯广场一层,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司省人民医院,武汉歌笛湖印象里一层01-05/19号商铺,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司省人民医院,武汉歌笛湖印象里一层01-05/19号商铺,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司解放公园KCOFFEE,解放公园内（齐云轩商亭后部）,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司解放公园KCOFFEE,解放公园内（齐云轩商亭后部）,手机点餐
湖北省,武汉市,百胜餐饮(武汉)有限公司黄浦路,解放大道1340号（常阳永清城）B商铺1层,"点唱机,手机点餐"
